C_HLEVEL,C_FULLNAME,C_NAME,C_SYNONYM_CD,C_VISUALATTRIBUTES,C_TOTALNUM,C_BASECODE,C_METADATAXML,C_FACTTABLECOLUMN,C_TABLENAME,C_COLUMNNAME,C_COLUMNDATATYPE,C_OPERATOR,C_DIMCODE,C_COMMENT,C_TOOLTIP,M_APPLIED_PATH,UPDATE_DATE,DOWNLOAD_DATE,IMPORT_DATE,SOURCESYSTEM_CD,VALUETYPE_CD,M_EXCLUSION_CD,C_PATH,C_SYMBOL
3,\SEDoH\Housing\ACS - Pct Occupied Units Lacking Plumbing\,Housing - Pct Occupied Units Lacking Plumbing,N,LA ,,SEDoH:PctHsngLackPlumbing,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHsngLackPlumbing</TestID><TestName>Housing - Pct Occupied Units Lacking Plumbing</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\ACS - Pct Occupied Units Lacking Plumbing\,"","Percentage of occupied housing units that lack indoor plumbing, per ACS",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Housing\ACS - Pct Occupied Units with No Bedrooms\,Housing - Pct Occupied Units with No Bedrooms,N,LA ,,SEDoH:PctHsngNoBedrooms,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHsngNoBedrooms</TestID><TestName>Housing - Pct Occupied Units with No Bedrooms</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\ACS - Pct Occupied Units with No Bedrooms\,"","Percentage of occupied housing units with no bedroom, per ACS",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Housing\ACS - Pct Occupied Units with No Computer [includes Smartphone]\,Housing - Pct Occupied Units with No Computer (includes Smartphone),N,LA ,,SEDoH:PctHsngNoComputer,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHsngNoComputer</TestID><TestName>Housing - Pct Occupied Units with No Computer (includes Smartphone)</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\ACS - Pct Occupied Units with No Computer [includes Smartphone]\,"","Percentage of occupied housing units with no computing device available; includes smartphone, per ACS",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Housing\ACS - Pct Occupied Units with No Internet Subscription\,Housing - Pct Occupied Units with No Internet Subscription,N,LA ,,SEDoH:PctHsngNoInternet,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHsngNoInternet</TestID><TestName>Housing - Pct Occupied Units with No Internet Subscription</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\ACS - Pct Occupied Units with No Internet Subscription\,"","Percentage of occupied housing units with no internet subscription; includes cellular data, per ACS",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Housing\ACS - Pct Occupied Units with No Vehicle Available\,Housing - Pct Occupied Units with No Vehicle Available,N,LA ,,SEDoH:PctHsngNoVehicle,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctHsngNoVehicle</TestID><TestName>Housing - Pct Occupied Units with No Vehicle Available</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Housing\ACS - Pct Occupied Units with No Vehicle Available\,"","Percentage of occupied housing units with no vehicle available, per ACS",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\Income\,Income,N,FA ,0,"","",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Income\,"",Income,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Income\ACS - Median Household Income\,Income - Median Household Income,N,LA ,,SEDoH:MedIncome,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:MedIncome</TestID><TestName>Income - Median Household Income</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>dollars (US)</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Income\ACS - Median Household Income\,"",Estimated median annual household income in US dollars.  Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Income\ACS - Pct Below 100% of Fed Poverty Level\,Income - Pct Below 100% of Fed Poverty Level,N,LA ,,SEDoH:PctIncBelow100FPL,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctIncBelow100FPL</TestID><TestName>Income - Pct Below 100% of Fed Poverty Level</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Income\ACS - Pct Below 100% of Fed Poverty Level\,"",Percentage of the population with estimated annual income below the Federal Poverty Level. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Income\ACS - Pct Below 200% of Fed Poverty Level\,Income - Pct Below 200% of Fed Poverty Level,N,LA ,,SEDoH:PctIncBelow200FPL,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctIncBelow200FPL</TestID><TestName>Income - Pct Below 200% of Fed Poverty Level</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Income\ACS - Pct Below 200% of Fed Poverty Level\,"",Percentage of the population with estimated annual income below 200% of the Federal Poverty Level. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Income\ACS - Pct Below 300% of Fed Poverty Level\,Income - Pct Below 300% of Fed Poverty Level,N,LA ,,SEDoH:PctIncBelow300FPL,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctIncBelow300FPL</TestID><TestName>Income - Pct Below 300% of Fed Poverty Level</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Income\ACS - Pct Below 300% of Fed Poverty Level\,"",Percentage of the population with estimated annual income below 300% of the Federal Poverty Level. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Income\ACS - Pct Households that Receive SNAP\,Income - Pct Households that Receive SNAP,N,LA ,,SEDoH:PctSNAP,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctSNAP</TestID><TestName>Income - Pct Households that Receive SNAP</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Income\ACS - Pct Households that Receive SNAP\,"",Percentage of households receiving food stamps/SNAP. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Gini Inequality Coefficient\,Index - Gini Inequality Coefficient,N,LA ,,SEDoH:Gini,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:Gini</TestID><TestName>Index - Gini Inequality Coefficient</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>index value</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Gini Inequality Coefficient\,"","Income inequality is the extent to which income is distributed unevenly among a population. The Gini Inequality Coefficient from ACS is a summary measure where higher values indicate greater inequality; the coefficient ranges from 0 (perfect equality, everyone receives an equal share) to 1 (perfect inequality).",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\CES - SB535 Disadvantaged Community?\,Index - SB535 Disadvantaged Community?,N,LA ,,SEDoH:SB535DisadvCmnty,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:SB535DisadvCmnty</TestID><TestName>Index - SB535 Disadvantaged Community?</TestName><DataType>Enum</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues><Val description=""Disadvantaged Commnity"">Y</Val><Val description=""Not a Disadvantaged Community"">N</Val></EnumValues><UnitValues><NormalUnits></NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\CES - SB535 Disadvantaged Community?\,"","Census tract designated a SB 535 Disadvantaged Community. These communities represent the highest-scoring 25% most-pollution-burdened census tracts in California based on a suite of CalEnviroScreen indicators. SB 535 communities are specifically targeted for investment aimed at improving public health, quality of life, and economic opportunities, funded by proceeds from the Stateâ€™s cap-and-trade program, one of several strategies used to reduce greenhouse gases that cause climate change.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\CDC - Social Vulnerability Index\,Index - Social Vulnerability Index,N,LA ,,SEDoH:SVI,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:SVI</TestID><TestName>Index - Social Vulnerability Index</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>index value</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\CDC - Social Vulnerability Index\,"","Social vulnerability measures community resilience to respond to or recover from threats to public health. The CDC SVI uses Census data for 15 social factors, including poverty, lack of access to transportation, and crowded housing, grouped into four themes. The index ranges from 0 to 1, with higher values indicating more-vulnerable populations.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\ACS - Pct Households with Limited English\,Language - Pct Households with Limited English,N,LA ,,SEDoH:PctLmtdEnglish,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctLmtdEnglish</TestID><TestName>Language - Pct Households with Limited English</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\ACS - Pct Households with Limited English\,"",Percentage of households that speak English less than very well. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\Race\,Race,N,FA ,0,"","",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\,"",Race,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Race\ACS - Pct American Indian or Alaska Native\,Race -   Pct American Indian or Alaska Native,N,LA ,,SEDoH:PctAIAN,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctAIAN</TestID><TestName>Race - Pct American Indian or Alaska Native</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\ACS - Pct American Indian or Alaska Native\,"",Percentage of the population who identify their race as American Indian or Alaska Native. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Race\ACS - Pct Asian\,Race -   Pct Asian,N,LA ,,SEDoH:PctAsian,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctAsian</TestID><TestName>Race - Pct Asian</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\ACS - Pct Asian\,"",Percentage of the population who identify their race as Asian. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Race\ACS - Pct Black\,Race -   Pct Black,N,LA ,,SEDoH:PctBlack,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctBlack</TestID><TestName>Race - Pct Black</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\ACS - Pct Black\,"",Percentage of the population who identify their race as Black or African American. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Race\ACS - Pct Multiple Race\,Race - Pct Multiple Race,N,LA ,,SEDoH:PctMultRace,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctMultRace</TestID><TestName>Race - Pct Multiple Race</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\ACS - Pct Multiple Race\,"",Percentage of the population who identify as two or more races. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Race\ACS - Pct Native Hawaiian or Other Pacific Islander\,Race -   Pct Native Hawaiian or Other Pacific Islander,N,LA ,,SEDoH:PctNHOPI,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctNHOPI</TestID><TestName>Race - Pct Native Hawaiian or Other Pacific Islander</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\ACS - Pct Native Hawaiian or Other Pacific Islander\,"",Percentage of the population who identify their race as Native Hawaiian or Other Pacific Islander. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Race\ACS - Pct Some Other Race\,Race -  Pct Some Other Race,N,LA ,,SEDoH:PctOtherRace,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctOtherRace</TestID><TestName>Race - Pct Some Other Race</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\ACS - Pct Some Other Race\,"",Percentage of the population who identify their race as Some Other Race. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\Race\ACS - Pct White\,Race -   Pct White,N,LA ,,SEDoH:PctWhite,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PctWhite</TestID><TestName>Race - Pct White</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>percent</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Race\ACS - Pct White\,"",Percentage of the population who identify their race as White. Values from ACS.,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\Notices\," <span style=""color:#933;""> Version 2.0, release 2021.09<ul style=""margin-top:0px;margin-bottom:0px;""><li>Hover over a concept for more info (tooltips).</li><li>Estimates for each California census are tract based on demographic, socioeconomic, and environmental data from federal and state government sources.</li><li>ACS 5-year estimates are updated annually; currently from 2019.</li><li>Other data are updated as released.</li><li>Ranges of values displayed in the tooltips are ranges of values for our California census tracts, not ranges of values specifically for our patients, and not ranges of values across all USA census tracts.</li><li><strong><em>Note:</em></strong> Queries for clinical or demographic concepts &quot;in the same financial encounter&quot; with SEDoH concepts will not be meaningful, since SEDoH exposures are not associated with clinical encounters.&nbsp; For details on same-financial-encounter queries, click on &quot;Help&quot; on the upper right, and navigate to topic 3.2.3.</li><li><strong><em>Note:</em></strong> Exposures to SEDoH measures should not be filtered with a date constraint.&nbsp; A &quot;temporal query&quot; can be used to define a sequence of events, and this can establish a temporal constraint.&nbsp; For details on temporal queries, click on &quot;Help&quot; on the upper right, and navigate to topic 3.2.3.</li></ul></span>",N,LI ,,"","",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Notices\,"",SEDoH Notices,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\Notices\,"<span style=""color:#933;""> About Air Quality Indicators<ul style=""margin-top:0px;margin-bottom:0px;""><li>For &quot;CES&quot; measures, these are average measures for California census tracts, prepared by CalEnviroScreen/Cal&nbsp;EPA.&nbsp; Data were released in 2018.</li><li>For &quot;SCEHSC&quot; measures, these are estimated ambient air pollution, interpolated to a 1-sq.km. grid from the 4 closest measurement stations.&nbsp; This mapping was provided by SCEHSC/KSOM Preventive Medicine.&nbsp; Data were collected in 1998&ndash;2009.</li></ul></span>",N,LI ,,"","",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\Notices\,"",SEDoH Air Quality Notices,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
